"","BT20_Abemaciclib_0.3_6","BT20_Abemaciclib_3_6","BT20_Palbociclib_0.3_6","BT20_Palbociclib_3_6","BT20_Ribociclib_0.3_6"
"ZRANB1",-0.367197807759964,-0.753757853178419,-0.271855397511076,-0.260226368047134,-0.0782271832457665
"NCDN",0.611827068028926,0.598589593099591,0.78693985858098,0.365565682261948,0.306914652661588
"ZFP64",0.190598113775687,0.427891102604902,0.323547875702616,0.158723502421655,0.30578620647546
"MNAT1",0.140061772781905,-0.404792006149488,0.113889796886473,0.197020496261389,0.312491853139097
"SAMD4A",0.851182129299346,1.4299472452989,0.527985664106552,0.539135532239647,0.638067153850195
"MRE11",-0.48326483420442,-0.495098889944515,-0.284804191571675,-0.300959105216668,-0.135745773713096
"SERPINB1",0.130654675514191,-0.117057207704622,0.148400783947714,0.297055475268162,0.157183380882077
"SPAST",-0.36648955425177,-1.0569568295238,-0.282214517219937,-0.00110239314489385,-0.203014065411491
"OSBPL5",-0.393845405473194,-0.408861027299018,-0.101711739051639,-0.170397681610871,-0.238576412945895
"AQR",-0.216933934052765,-0.426784363180567,-0.110258761449876,-0.108985057699246,-0.00466844841318371
"RTFDC1",0.193357103159397,0.1435360157189,-0.0346354963349586,-0.0216698234536838,0.0436712595622369
"SLC45A4",-0.0492880434874646,0.227696392401166,0.191701342275783,0.585215799411839,-0.105368492584961
"RNF10",-0.0759026048072329,0.162041353355091,0.0454453375793846,0.0597988882118448,-0.098422326826298
"ZDHHC6",-0.479022087936326,-0.540645378237167,-0.428870017897261,-0.617551830642031,-0.383459727338367
"RNH1",0.462953597447012,0.57877994240935,0.609120882345873,0.388692196152609,0.194610643835575
"NDUFS1",-0.124716705416769,-0.0149928062622161,-0.0994665410772703,0.0300303894702767,-0.0521464796142537
"RB1CC1",-0.46789283818518,-0.723924219354874,-0.268029633756599,-0.104372083979956,-0.0939708694326099
"ERP44",0.0571854323794888,0.0369825205298489,0.0394004878305423,0.133127896517746,0.119278706402374
"ALAS1",0.194227632011016,-0.151922346763064,0.0334628771571407,0.0741151548814686,0.290292031817575
"AKAP11",-0.34462928955723,-0.471505552834835,-0.357008047925893,-0.402583514038532,-0.120507936873645
"GLRX2",0.160062714298345,-0.272627428771647,-0.103254044351865,0.135334086685793,-0.139687070734211
"SNAPC1",0.0611989463058884,-0.204760078654,-0.110215370903438,0.276159395720145,0.177701203664161
"DERA",-0.107068192695039,-0.0804054159951104,-0.0515195763543372,-0.0404087531770908,-0.148440513036576
"STRAP",0.139556894380964,0.119049508638394,0.0353141299250873,0.0969852817959465,0.102495000531771
"DEF6",0.279668818486247,0.387717437370115,0.0552737220988907,-0.376933497639036,0.0787173007063134
"GCLM",-0.311055899210933,-0.379580652487373,-0.345951093025626,-0.181568575155338,-0.140644593482003
"UBR2",0.0714467139227182,-0.360316816029477,0.167213179539057,0.195087441631438,0.0858249644526319
"DEPDC1",-0.695759799070409,-0.766554407933228,-0.607499268629215,-0.575753887196773,-0.356003718199313
"CCDC28A",-0.496206025658474,-0.823446358644275,-0.104990076347487,-0.359180607741626,-0.195195457030721
"HSF2",-0.572923302630549,-0.568936484425203,-0.334057462587041,-1.06369728229318,-0.396036236865987
"PHF20",0.0276610433860992,0.0622731711099693,-0.183336488878407,-0.0256947692620208,-0.00562045790428592
"NCAPH2",-0.246302054198567,-0.217919761225724,-0.149930733268495,-0.518533034655268,-0.2197807927066
"TOMM34",0.0479814531142515,0.156788227679009,0.171063487420697,0.0936595220351473,0.136126429786069
"SEC63",-0.0757985013729812,-0.0742995222407562,-0.156506819754371,0.0374802207516919,0.0242191312504286
"KPNA6",0.0305706299990545,0.145101480174421,0.0624168466924285,0.0954061514144897,-0.111328090684741
"VIM",-0.357639980951752,-0.393105829129672,-0.594330927110096,-0.00785765669868604,0.146070896485966
"RTEL1-TNFRSF6B",0.515390916450158,0.741346153862928,0.0337521003827451,0.040549895519883,-0.164801804743635
"FAS",-0.621320491478794,-1.39122443679963,-0.296406041120917,-0.438358157757473,-0.208826912934291
"RNASET2",-0.108824798016571,0.0742340077582525,-0.127773640704059,0.0746389901579682,-0.233381162359947
